numero_ed;libelle_ed;sigle_ed;discipline_principale;etablissement_support;etablissements_coaccredites;etablissements_associes;disciplines_secondaires;annee_de_creation;annee_d_accreditation;duree_d_accreditation;academie;region;departement;commune;nom_laboratoires;telephone;site_web;adresse_postale;email;coordonnees_geographiques;toutes_disciplines;tous_etablissements;code_etablissement_support;code_commune;code_unite_urbaine;code_departement;code_academie;code_region;code_etablissements_associes;prenom_responsable_ed;nom_responsable_ed;code_etablissements_coaccredites;civilite;unite_urbaine_ou_commune_rurale;code_toutes_disc;code_disc_pr;code_disc_sec;id_tous_etablissements;code_tous_etablissements;id_etablissement_support;id_etablissements_coaccredites;id_etablissements_associes;identifiant_laboratoires;id_ed;;coordonnees_geographiques;;;latitude;long;;coordonnees_geographiques;
31;êcole doctorale Pratiques et thÇories du sens;;Sciences humaines et humanitÇs;UniversitÇ Paris 8 - Vincennes - Saint-Denis;;;;1992;2020;5;CrÇteil;◊le-de-France;Seine-Saint-Denis;Saint-Denis;"TRANSFERTS CRITIQUES ANGLOPHONES (TransCrit);CENTRE DE RECHERCHES HISTORIQUES : HISTOIRE DES POUVOIRS, SAVOIRS ET SOCIETES;LES MONDES ALLEMANDS : REGIONS, HISTOIRE, CULTURES, SOCIETES;ETUDES JUIVES ET HEBRAIQUES;Institutions et Dynamiques Historiques de l'Economie et de la Societe;LA SECTION CLINIQUE;LABORATOIRE D'ETUDES ET DE RECHERCHES SUR LES LOGIQUES CONTEMPORAINES DE LA PHILOSOPHIE;Centre interdisciplinaire de recherche Culture Education Formation Travail;LABORATOIRE D'ETUDES ROMANES;Groupe d'Etudes et de Recherches Philosophie, Architecture, Urbain";;https://sens.univ-paris8.fr/;UniversitÇ Paris 8  ED Pratiques et thÇories du sens  BÉtiment D Bureau 217, 2 rue de la LibertÇ, 93526 SAINT-DENIS CEDEX;sens@univ-paris8.fr;48.946, 2.36213;Sciences humaines et humanitÇs;UniversitÇ Paris 8 - Vincennes - Saint-Denis;0931827F;93066;UU00851;D093;A24;R11;;Brigitte;Felix;;Madame;Paris;6;6;;Uxr7Z;0931827F;Uxr7Z;;;"199213502R;199213504T;199213510Z;199713855C;199812861T;200515262X;200515263Y;200918445P;200918494T;201722683L";1S466;;48.946, 2.36213;48.946, 2.36213;;48.946, 2.36213;;;48.946; 2.36213
52;êcole doctorale Physique et astrophysique de Lyon;PHAST;Physique;UniversitÇ de Lyon;;;Sciences de la terre et de l'univers, espace;1991;2016;5;Lyon;Auvergne-Rhìne-Alpes;Rhìne;Villeurbanne;"Centre de recherche astrophysique de Lyon;INSTITUT DE PHYSIQUE DES 2 INFINIS DE LYON;Laboratoire de geologie de Lyon : Terre, planetes et environnement;INSTITUT LUMIERE MATIERE";;http://phd-physics.universite-lyon.fr/;UniversitÇ Claude Bernard Lyon 1  Domaine scientifique de la Doua  BÉtiment Paul Dirac, 43 Boulevard du 11 Novembre 1918, 69622 VILLEURBANNE CEDEX;;45.748414, 4.836668;"Physique;Sciences de la terre et de l'univers, espace";UniversitÇ de Lyon;0694094A;69266;UU00760;D069;A10;R84;;Dany;Davesne;;Monsieur;Lyon;"2;3";2;3;iq0rG;0694094A;iq0rG;;;"199512012H;199512096Z;201119400U;201320570G";61XPb;;45.748414, 4.836668;;;;;;45.748414; 4.836668
70;êcole doctorale Sciences pour l'ingÇnieur;EDSPI;Sciences pour l'ingÇnieur;UniversitÇ Clermont Auvergne;;Clermont Auvergne INP;;1992;2017;4;Clermont-Ferrand;Auvergne-Rhìne-Alpes;Puy-de-Dìme;Aubiäre;"Technologies et systemes d'information pour les agrosystemes;Laboratoire d'Informatique, de Modelisation et d'Optimisation des Systemes;Laboratoire Arc Electrique et Plasmas Thermiques (EA 4646);INSTITUT DE CHIMIE DE CLERMONT-FERRAND;Image Sciences for Interventional Techniques";;http://edspi.univ-bpclermont.fr;Campus Universitaire des CÇzeaux, 8 Avenue Blaise Pascal, CS 60026, 63178 AUBIERE CEDEX;edspi.drv@uca.fr;45.770548, 3.087722;Sciences pour l'ingÇnieur;"UniversitÇ Clermont Auvergne;Clermont Auvergne INP";0632035V;63014;UU63701;D063;A06;R84;0632033T;Thierry;Chateau;;Monsieur;Clermont-Ferrand;8;8;;"K4lR3;S8ntZ";"0632035V;0632033T";K4lR3;;S8ntZ;"200118619N;200212221E;201220064L;201220211W;201220298R";G413P;;45.770548, 3.087722;;;;;;45.770548; 3.087722
73;êcole doctorale Sciences Çconomiques, sociales, de l'amÇnagement et du management;SESAM;Sciences de la sociÇtÇ;UniversitÇ de Lille;UniversitÇ Gustave Eiffel;;;1992;2020;1;Lille;Hauts-de-France;Nord;Villeneuve-d'Ascq;"DISCONTINUITES;Centre lillois d'etudes et de recherches sociologiques et economiques;CENTRE DE RECHERCHE INDIVIDUS EPREUVES SOCIETES (EA 3589);Lille - Economie et Management;TERRITOIRES, VILLES, ENVIRONNEMENT ET SOCIETE;RIMELAB - Recherche Interdisciplinaires en Management et Economie;CENTRE DE RECHERCHE INTERDISCIPLINAIRE EN SCIENCES DE LA SOCIETE";;http://edsesam.univ-lille1.fr/;UniversitÇ de Lille SHS Cite Scientifique, 59655 VILLENEUVE D'ASCQ;edsesam@univ-lille1.fr;50.6314, 3.07497;Sciences de la sociÇtÇ;"UniversitÇ de Lille;UniversitÇ Gustave Eiffel";0597065J;59009;UU59702;D059;A09;R32;;Sylvie;Celerier;0772894C;Madame;Lille;7;7;;"Szqy5;3Z5e6";"0597065J;0772894C";Szqy5;3Z5e6;;"199813999E;200212693T;200214864C;200612826V;201019090L;201521652Z;202023555W";IQ0Hk;;50.6314, 3.07497;;;;;;50.6314; 3.07497
84;êcole doctorale Sciences et technologies de l'information et de la communication;STIC;Sciences et technologies de l'information et de la communication;UniversitÇ Cìte d'Azur;UniversitÇ Paris sciences et lettres;;;1992;2018;5;Nice;Provence-Alpes-Cìte d'Azur;Alpes-Maritimes;Biot;"LABORATOIRE D'INFORMATIQUE SIGNAUX ET SYSTEMES DE SOPHIA-ANTIPOLIS (I3S);LABORATOIRE D'ELECTRONIQUE,  ANTENNES ET TELECOMMUNICATIONS;Mathematiques et systemes;Laboratoire informatique, signaux systemes de Sophia Antipolis;Laboratoire d'electronique antennes et telecommunications;POLYTECH'LAB";;http://edstic.unice.fr;UniversitÇ Nice Sophia Antipolis  Ecole Doctorale STIC  Laboratoire  I3S  Les Algorithmes BÉt. Euclide B, 2000 route des Lucioles, 06903 SOPHIA ANTIPOLIS CêDEX;edstic@i3s.unice.fr;43.716324, 7.269781;Sciences et technologies de l'information et de la communication;"UniversitÇ Cìte d'Azur;UniversitÇ Paris sciences et lettres";0062126D;06018;UU06701;D006;A23;R93;;Claire;Migliaccio;0756036D;Madame;Nice;9;9;;"s3t8T;PpsCQ";"0062126D;0756036D";s3t8T;PpsCQ;;"200012159W;200012160X;200920616Z;201220432L;201220433M;201822720X";9wS2W;;43.716324, 7.269781;;;;;;43.716324; 7.269781
85;êcole doctorale Sciences de la vie et de la santÇ;SVS;Biologie, mÇdecine et santÇ;UniversitÇ Cìte d'Azur;;;;1992;2018;5;Nice;Provence-Alpes-Cìte d'Azur;Alpes-Maritimes;Valbonne;"Laboratoire de Biologie du developpement de Villefranche-sur-Mer;UNITE DE CIBLAGE PHARMACOLOGIQUE EN ONCOLOGIE;Transporteurs en Imagerie et Radiotherapie en Oncologie - Mecanismes Biologique des Alterations du Tissu Osseux;CENTRE MEDITERRANEEN DE MEDECINE MOLECULAIRE;Institut de biologie de Valrose;TOLERANCE IMMUNITAIRE;RECHERCHE TECHNOLOGIQUE ET RADIATIONS IONISANTES;Institut de pharmacologie moleculaire et cellulaire;Laboratoire de Physio-Medecine Moleculaire;Institut Sophia Agrobiotech;COGNITION BEHAVIOUR TECHNOLOGY;Institut de Recherche sur le Cancer et le Vieillissement, Nice;MICROBIOLOGIE ORALE, IMMUNOTHERAPIE ET SANTE (MICORALIS);Unite de Pharmacogenetique et Radiogenetique des cancers;;Unite de Recherche Clinique Cote d'Azur";;http://ed-svs.unice.fr/;Institut de Pharmacologie  Moleculaire  et Cellulaire du CNRS, 660, Route des Lucioles  Sophia Antipolis, 06560 VALBONNE;formations-edsvs@unice.fr;43.716324, 7.269781;Biologie, mÇdecine et santÇ;UniversitÇ Cìte d'Azur;0062126D;06152;UU06701;D006;A23;R93;;Olivier;Soriani;;Monsieur;Nice;5;5;;s3t8T;0062126D;s3t8T;;;"199912418G;200415096W;201019676Y;201220149D;201220170B;201220300T;201220326W;201220332C;201220337H;201220409L;201220412P;201220417V;201521255T;201822719W;201923615R;202023552T";YdiMF;;43.716324, 7.269781;;;;;;43.716324; 7.269781
86;êcole doctorale SociÇtÇs, humanitÇs, arts, lettres;LSHS;Sciences humaines et humanitÇs;UniversitÇ Cìte d'Azur;;Villa Arson;;1992;2018;3;Nice;Provence-Alpes-Cìte d'Azur;Alpes-Maritimes;Nice;"CENTRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE;LABORATOIRE INTERDISCIPLINAIRE RECITS CULTURES ET SOCIETES;LABORATOIR DES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION;CENTRE DE RECHERCHE EN HISTOIRE DES IDEES;Etudes des structures, des processus d'adaptation et des changements de l'espace;CENTRE TRANSDISCIPLINAIRE D'EPISTEMOLOGIE DE LA LITTERATURE ET DES ARTS VIVANTS;Bases,corpus, langage;INTERDIDACTIQUE, DIDACTIQUE DES DISCIPLINES ET DES LANGUES;Cultures et Environnements. Prehistoire, Antiquite, Moyen Age;APPRENTISSAGES, DIDACTIQUES, EVALUATION, FORMATION;Groupe de Recherche en Droit, Economie et Gestion;LABORATOIRE D'ANTHROPOLOGIE ET DE PSYCHOLOGIE COGNITIVES ET SOCIALES;LABORATOIRE D'INNOVATION ET NUMERIQUE PAR L'EDUCATION";;http://edshal.unice.fr/;UFR Lettres, Arts,  Sciences Humaines et Sociales, 98, Boulevard Edouard Herriot, BP 3209, 06204 NICE CEDEX 3;ecole-doctorale-lash@unice.fr;43.716324, 7.269781;Sciences humaines et humanitÇs;"UniversitÇ Cìte d'Azur;Villa Arson";0062126D;06088;UU06701;D006;A23;R93;0060836B;Fabien;Mathy;;Monsieur;Nice;6;6;;"s3t8T;JOkNq";"0062126D;0060836B";s3t8T;;JOkNq;"199213380H;200014458V;200415080D;200815548V;201220240C;201220285B;201220287D;201220288E;201220314H;201220327X;201220333D;201220397Y;201622216H";O8E6y;;43.716324, 7.269781;;;;;;43.716324; 7.269781
98;êcole doctorale Droit-Normandie;EDDN;Sciences de la sociÇtÇ;Normandie UniversitÇ;;;;1992;2017;5;Caen;Normandie;Calvados;Caen;"INSTITUT DEMOLOMBE;Laboratoire d'etudes en droits Fondamentaux, des Echanges Internationaux et de la Mer - EA 1013;CENTRE DE RECHERCHE SUR LES DROITS FONDAMENTAUX ET LES EVOLUTIONS DU DROIT;CENTRE UNIVERSITAIRE ROUENNAIS D'ETUDES JURIDIQUES";;http://ed98-dn.normandie-univ.fr/;UniversitÇ de Caen Normandie  UFR de droit, Esplanade de la Paix, 14000 CAEN;eddn@liste.normandie-univ.fr;49.188964, -0.363963;Sciences de la sociÇtÇ;Normandie UniversitÇ;0142382N;14118;UU14701;D014;A05;R28;;Elodie;Saillant-Maraghni;;Madame;Caen;7;7;;G1r6y;0142382N;G1r6y;;;"199213287G;199213304A;199613745M;201220360H";9fYyW;;49.188964, -0.363963;;;;;;49.188964; -0.363963
122;êcole doctorale Europe latine - AmÇrique latine;;Sciences humaines et humanitÇs;UniversitÇ Sorbonne Nouvelle - Paris 3;UniversitÇ de Paris;;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  5e;"CENTRE DE RECHERCHE INTERUNIVERSITAIRE SUR L' AMERIQUE LATINE;CENTRE DE RECHERCHE SUR L'ESPAGNE CONTEMPORAINE;CENTRE DE RECHERCHE SUR LES PAYS LUSOPHONES;Les cultures de l'Europe Mediterraneenne Occidentale;Centre de recherche et de documentation des Ameriques";;http://www.univ-paris3.fr/ed122;Centre BIEVRE  3äme Çtage - salle A, 1, rue Censier, 75231 PARIS CEDEX 05;ed122@sorbonne-nouvelle.fr;48.836066, 2.37187;Sciences humaines et humanitÇs;"UniversitÇ Sorbonne Nouvelle - Paris 3;UniversitÇ de Paris";0751719L;75105;UU00851;D075;A01;R11;;Christian;Del Vento;0755976N;Monsieur;Paris;6;6;;"8k883;5cZyU";"0751719L;0755976N";8k883;5cZyU;;"199213686R;199713845S;200114697A;200515235T;200918540T";z9lZY;;48.836066, 2.37187;;;;;;48.836066; 2.37187
124;êcole doctorale Histoire de l'art et archÇologie;;Sciences humaines et humanitÇs;Sorbonne UniversitÇ;;;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  2e;"CENTRE DE RECHERCHE SUR L'EXTREME-ORIENT;Centre Andre Chastel : Laboratoire de recherche en histoire de l'art;Orient et Mediterranee, textes - archeologie - histoire;Rome et ses renaisances : arts, archeologie, litterature et philosophie";;http://www.paris-sorbonne.fr;Universite Paris IV Sorbonne  Galerie Colbert,, 2 rue Viivienne, 75002 PARIS;;48.851304, 2.340246;Sciences humaines et humanitÇs;Sorbonne UniversitÇ;0755890V;75102;UU00851;D075;A01;R11;;Philippe;Lorentz;;Monsieur;Paris;6;6;;bxPQe;0755890V;bxPQe;;;"199814092F;200412806G;200612819M;200615327N";MBN4L;;48.851304, 2.340246;;;;;;48.851304; 2.340246
